,spotify_id,name,representative_text
318,6Snj1YTNoXMBkVNLCdXH3R,Hayat,
319,3OFUmiZcD0AWtjOYFJVpwM,Arash Buana,
320,4e9ntSageEujJboJQBXtCd,Ollie,
321,44hJXrVhoyA1fV1dn4wdHC,VI-EM,
322,4ZwOlDVAGXQo66ykbLQ8dP,Lamin,
323,6jRD85dsXJYn5vv73rqSGi,Chi Pu,
324,5iZMWWLoDJH1u6Ru2rOEsd,Keen' V,
325,6YbvyuBTs8JbVj7iyurrJe,teamwork.,
326,4wJtkZRfieBICxs8onRjy6,Łobuzy,
327,0jRqFvRKCDryHOgrgFqsKG,Fools Garden,
328,4Ptte3Co29nu4q1aqlLu6p,Twin n Twice,
329,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,
330,5lzqFxifzjxYHGJxuwQqtR,Francesco Gabbani,
331,3Jy86CVPHDVN858HitaK1N,Junie,
332,4PjY2961rc0MHE9zHYWEnH,9m88,
333,3OVWvBHwlq5w8iRJEBoCp2,Levent Yüksel,
334,5CKhp4ovgbSd7PdVIza7cC,Andreas Johnson,
335,0u0FqeMALEaiT19otJOm8C,簡弘亦,
336,6jS6JOoUxuUrEKDDrciQzm,Clandistino,
337,2gDqGAadPIPiA7LtmNn74g,Gian Marco,
338,7a0EHDYu3wAgR3qiC87Mm0,Helgi Björnsson,
339,5HnkAAaf0MCIxMWzsJNrdg,Alcazar,
340,6ZGwdAmu91r8mpA6SXodzd,Giorgos Sabanis,
341,4BmWSGKG6HiYvLuJvZ9afa,Namie Amuro,
342,4Wv4SEO2ZQAOBl4yJcjdxi,ZENTYARB,
343,5Tl7XjM9Y7Q2D9eIHz5GTO,Ten2Five,
344,6qcIg4IPLulyc03mWR87N8,Kanika Kapoor,
345,1wdU1J2NHzcDYarT7jEU2A,Dastic,
346,6UBA15slIuadJ8h2lPRPos,Tech N9ne,
347,1rylldluHh9z6RiCzLNUsC,Panos Kalidis,
348,0OECMkZp1koXqQLQrMizHb,Vicky Nhung,
349,4CTKqs11Zgsv8EZTVzx764,Lemaitre,
350,32MFJQ1NHpYp916d8vAd6r,Kelemen Kabátban,
351,0WSZVhdjqDhQ9IrLn5yBNJ,Spårtsklubben,
352,4piQadI6uXO5CUcQ3FJuDt,琳誼 Ring,
353,7CAtmuyGlzYum4BKfl34ij,Gorki,
354,6f3he2xOHHHSZ0JVhTRIVj,Weeping Willows,
355,5WdqBAQhGFCrZvBKXiPIu7,The Him,
356,5oYHL2SijkMY52gKIhYJNb,Elefante,
357,6iGRpCDnRmtqYF0tNjRoKJ,Benny Tipene,
358,3GGuPP6lGhVCYBFsqQfIom,USO,
359,3yQxGz288i3AqOxq7LYHUU,Oh Honey,
360,0xww7UDomE27mzi2gYnQsl,蔣志光,
361,7JRDlOAUMJuLKmapm6H2VG,D Blue,
362,7HHM4gwm7AgjuLyPlFdadO,Repvblik Band,
363,1BfR4gQyjlhLAssULX0wDr,Valeria Gau,
364,6VQjX1PcMpRfh5qcO1RQDO,Rodolfo Bueso,
365,7rewR1TVjhisjI6gauUamf,The Crystals,
366,3gqv1kgivAc92KnUm4elKv,Teddybears,
367,64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,
368,6V0UIhxibbgh9q9eYKImW7,FRANKIE,
369,75ZTlOo6olxm9thcXVh6Ta,Kristian Kristensen,
370,4xe6s55EDjpRpyZsrFoiWh,Haraca Kiko,
371,6c0mTNAxJxlp9HpKTUZwA8,ALMA,
372,4ZUahcHoVxr4lsrfdmhjhV,Zé Ricardo & Thiago,
373,3wzGjN26jzqLY2Gc836sjC,ROOFTOP,
374,3OBkZ9NG8F0Fn4oNpg0yuU,HA SUNG WOON,
375,29qTQ8hGGr8QxXbVRaC7WC,Nesian Mystik,
376,3WRsF4v44gZjal7SHftil4,PnD,
377,1PnnRNGfichOAfPOn5mVyx,Sorana,
378,3R6VoMjUANEP9wb7fRNXws,Rolf Sanchez,
379,1L4HGLMFRrJsAnug5M7slL,Ericka Jane,
380,0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,
381,5UdFr0GeO7jKIaNIJgwB36,Raftaar,
382,4ZfTpxwHwtot9Ps59bXAF8,Sandy,
383,6HCBnyTBSLdb3TFn2ayulY,Leto,
384,29D4iRqjepAsZt6o5hccND,Miliyah,
385,0ZXDvZqBzwZLsHRXhuTbpR,Cleo,
386,1EXjXQpDx2pROygh8zvHs4,Melendi,
387,76oZZyUq2OsR4uvuZVYdPn,Whiteberry,
388,250b0Wlc5Vk0CoUsaCY84M,JENNIE,
389,0Q6X1jqwOVQuclYp2P1bub,Sondre Lerche,
390,3w8fdvgPp2aKgy125EBgVg,玖壹壹,
391,4BzCdhJTyTS3gumq9xmymb,ayokay,
392,68F8J8hIEdL7evUNDqIH2N,Í svörtum fötum,
393,1OFra6RZi6tAQLx4nqvz8q,Rabby Racks,
394,0KLp5ppsZerGbWrWnO7lXG,spsalola,
395,3Gg20zbz8OVW3iahm8uoYo,Elandré,
396,03zz3zpyV15ZGw1cgjZ7tj,Nino Bravo,
397,0lcGTyjTjKRDQpgKaT5bGJ,Ruma,
398,45ft4DyTCEJfQwTBHXpdhM,milet,
399,1NBkKa2SgVP0uirl5vAB8t,Talis e Welinton,
400,5xkAtLTf309LAGZTbvULBn,Ruel,
401,0lFLP59V4TY3XgnrkFIwxK,Katja Krasavice,
402,66Ok6bgC570sHkw08N20pZ,OBOY,
403,2EqaSEa0WkE59Aca9iXSYj,『ユイカ』,
404,4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,
405,1Oaod2BEUHCaRav5EH1dva,Aurelie Hermansyah,
406,7j2KcU3ogpP9jtAsomBNwA,Sandrina,
407,6Q0JYiqcSa28nT0KOQZtX6,Ahmed Mekky,
408,1bObiFZkYu7IfzxVlAVj5x,Danny Vera,
409,4XDi67ZENZcbfKnvMnTYsI,Jay Park,
410,4xRYI6VqpkE3UwrDrAZL8L,Logic,
411,1fWdIqACb0m72NUZqehsI9,Breiðablik,
412,4hw4chBwI0fvJltPiQxPPD,Natasa Theodoridou,
413,5gCRApTajqwbnHHPbr2Fpi,Juicy J,
414,0fAxJ75WJT3STJb3xWtpbc,MOLY,
415,6HI8rcJysSSJjctsRIwMub,Curly Strings,
416,2tmt0z174LRgAeAi9MHA9C,Ingebjørg Bratland,
417,5yD3wtXDmbOloiFzO3km1M,LUNA KI,
418,4xV6q5fDx5Mx73IZEugzHF,Adham Seliman,
419,0ekbDNE2eOq8QiaXM34wer,Howie Day,
420,7rTRICDeckWVatQYWZM93J,Abdul & The Coffee Theory,
421,0h1p71bc1FlcECoZPbKNXf,Menuets,
422,4x1fUORHa2EsxrQ6ZzAoQ0,Suni Hạ Linh,
423,0152lAerTxFtfqXBnJi8TY,COTERIE,
424,5Zn94mKQQYVZUvhiIXeXdP,Leo王,
425,384MqcXCGGFh9UcjI5Tpc5,Eix,
426,6aH4CaxRV988XUNLVSi1dZ,T2R,
427,4t52ndk0OkAxtb4vMDLPhe,Daryl Braithwaite,
428,2txHhyCwHjUEpJjWrEyqyX,Tom Odell,
429,47BNWfpngeFHYvBlPPyraM,Kate Ryan,
430,61Sbigb2Faz8K27wBoOBo9,Alma Zohar,
431,279RipTJjZgFKvmekq7OrP,VERBEE,
